Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
Penang prawn noodle,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (685g),Main,,Meat,Noodles,12,70.56,8.91,32.88,5.48,#N/A,527.45,2144.05,331.26,41.83,154.36,527.45
"Persimmon, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (189g),Side,,Drinks,Fruits/Juice,26,27.5,0.73,1.28,3.67,0,121,14.67,112.76,2.99,5.25,121.00
Pineapple fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (300g),Main,,Meat,Rice,11,81.6,18.3,16.8,7.5,#N/A,558,1749,390.17,87.50,80.33,558.00
"Pizza, pan, cheese, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (100g),Main,PizzaHut,Meat,Sandwich,18,32.54,5.1,12.19,1.85,0.07,223,533,145.62,22.82,54.55,223.00
"Pizza, pan, pepperoni, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (95g),Main,PizzaHut,Meat,Sandwich,18,30.02,11.59,11.59,2.95,0.3,271.7,620.35,153.32,59.19,59.19,271.70
"Pizza, pan, supreme, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (130g),Main,PizzaHut,Meat,Sandwich,18,26.78,14.34,14.34,2.87,0.38,297.28,730.29,143.55,76.87,76.87,297.28
"Pizza, personal pan, supreme, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (270g),Main,PizzaHut,Meat,Sandwich,18,53.73,33.48,27,4.94,#N/A,623.7,1236.6,293.42,182.83,147.45,623.70
"Pizza, thin n crispy, cheese, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (75g),Main,PizzaHut,Meat,Sandwich,18,21.3,9.15,12.15,2.03,0.2,213,537,106.50,45.75,60.75,213.00
"Pizza, thin n crispy, pepperoni, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (75g),Main,PizzaHut,Meat,Sandwich,18,24.98,10.2,11.4,#N/A,#N/A,249.75,693,133.94,54.69,61.12,249.75
"Pizza, thin n crispy, super supreme, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (100g),Main,PizzaHut,Meat,Sandwich,18,22.8,11.4,13.2,3.5,0,246,711,118.33,59.16,68.51,246.00
"Pizza, thin n crispy, supreme, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (100g),Main,PizzaHut,Meat,Sandwich,18,25,11.5,13.5,3.1,#N/A,258,740,129.00,59.34,69.66,258.00
Plain aglio aglio,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (266g),Main,,Meat,Noodles,12,48.68,10.4,13.3,3.99,30,340.48,798,228.99,48.92,62.56,340.48
"Poke bowl, salmon",CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (438g),Main,,Meat,Fish,3,44.68,35.39,26.28,6.13,310,604.44,1248.3,253.94,201.14,149.36,604.44
"Poke bowl, tuna",CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (405g),Main,,Meat,Fish,3,49.82,19.97,29.97,7.29,40,498.15,1202.85,248.78,99.72,149.65,498.15
Pork chop with spaghetti,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (406g),Main,,Meat,Pork,6,39.79,17.86,34.1,3.65,0.04,458.78,1267.13,198.96,89.31,170.51,458.78
Pork katsu curry omurice,MEAT AND MEAT PRODUCTS,Pork,Plate-23cm (611g),Main,,Meat,Pork,6,78.82,70.14,50.1,4.28,370,1148.68,2181.27,454.83,404.74,289.10,1148.68
Pork katsu don,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (599g),Main,,Meat,Pork,6,103.03,35.82,44.33,3.59,0,910.48,1533.44,512.10,178.04,220.34,910.48
"Potato, mashed, with gravy, KFC",FAST FOODS,All fast food outlets in alphabetical order,Cup (95g),Side,KFC,SideDish,Snacks,27,10.4,0.3,1.9,1.43,0,51.3,331.55,42.34,1.22,7.74,51.30
"Pow, char siew, steamed",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (53g),Breakfast,,Meat,Pork,6,19.77,6.47,5.78,0.74,0,160.59,208.82,99.15,32.45,28.99,160.59
"Pow, pork",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (104g),Breakfast,,Meat,Pork,6,35.36,13.52,9.46,4.89,0.02,301.6,540.8,182.80,69.89,48.91,301.60
Prawn aglio olio,FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (232g),Main,,Meat,Seafood,23,64.03,9.28,17.4,#N/A,#N/A,408.32,786.48,288.22,41.77,78.32,408.32
Prawn noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (574g),Main,,Meat,Seafood,23,49.36,2.3,18.94,4.02,#N/A,293.58,2422.28,205.26,9.56,78.76,293.58
"Pulut hitam, served with coconut milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (425.2g),Side,,SideDish,Dessert,24,75.69,1.28,3.4,11.91,#N/A,328.25,0,309.14,5.23,13.89,328.25
"Pulut hitam, with coconut milk (2018)","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (380g),Side,,SideDish,Dessert,24,52.82,4.64,4.56,0.76,40,269.8,97.66,229.78,20.18,19.84,269.80
"Quarter Pounder with Cheese, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (199g),Main,McDonalds,Meat,Cheese,15,39.7,28.3,29.03,2.79,#N/A,513.42,1152.21,210.07,149.75,153.61,513.42
"Rambutan, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (35.2g),Side,,Drinks,Fruits/Juice,26,2.35,0.02,0.12,0.08,#N/A,9.97,0.84,9.41,0.08,0.48,9.97
Red bean soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (250g),Side,,SideDish,Dessert,24,51.25,1,9.75,10,#N/A,252.5,5,208.72,4.07,39.71,252.50
Red bean soup (2018),"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (348g),Side,,SideDish,Dessert,24,36.89,0.7,11.48,7.66,0,198.36,7.03,149.12,2.83,46.41,198.36
Red ruby with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (389g),Side,,SideDish,Dessert,24,22.68,21.71,2.45,6.19,#N/A,295.64,68.46,143.15,137.03,15.46,295.64
"Roast Beef Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (344g),Main,Subway,Meat,Beef,5,13,2.79,10.32,3.99,#N/A,120.4,282.08,59.95,12.87,47.59,120.40
"Roasta Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),Main,KFC,Meat,Chicken,4,39.79,17.5,29.9,3.22,0.1,437,938.4,199.43,87.71,149.86,437.00
Roasted duck rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (410g),Main,,Meat,Duck,7,96.76,23.44,27.72,0.93,#N/A,714.18,686.14,467.17,113.17,133.84,714.18
"Rolls, hamburger or hotdog, plain",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (43g),Breakfast,,Meat,Pork,6,20.36,1.86,4.09,0.9,#N/A,119.97,205.97,92.84,8.48,18.65,119.97
Root beer,BEVERAGES,Non-alcoholic beverages,Can (330g),Drink,,Drinks,Cold Drinks,2,34.98,0,0,0,#N/A,135.66,42.9,135.66,0.00,0.00,135.66
Root beer float,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (300g),Drink,,Drinks,Cold Drinks,2,36.54,5.25,1.71,0.12,#N/A,196.71,58.74,165.24,23.74,7.73,196.71
Salmon don,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (405g),Main,,Meat,Fish,3,270.95,39.37,68.04,6.89,0,1709.1,967.95,1223.92,177.84,307.35,1709.10
Satay bee hoon,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (664g),Main,,Meat,Noodles,12,48.09,39.44,42.98,7.22,#N/A,727.04,2922.4,267.90,219.71,239.43,727.04
"Sausage McGriddle with Egg and Cheese, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (199g),Breakfast,McDonalds,Meat,Cheese,15,48,22.01,23.88,3,#N/A,483.57,1570.11,247.22,113.36,122.99,483.57
"Sausage McGriddle, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (135g),Breakfast,McDonalds,Meat,Sandwich,18,46.98,12,13.5,3,#N/A,351,1200.15,227.51,58.11,65.38,351.00
"Sausage McMuffin with egg, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,1 portion (163g),Breakfast,McDonalds,Meat,Sandwich,18,26.99,18,21.19,3.99,0.08,363.49,989.41,148.24,98.86,116.38,363.49
"Sausage McMuffin, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (112g),Breakfast,McDonalds,Meat,Sandwich,18,26,12,14.56,4,0.04,280,870.24,138.51,63.93,77.56,280.00
Seafood bee hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (654g),Main,,Meat,Seafood,23,39.37,9.16,28.71,1.31,#N/A,361.66,1595.89,184.34,42.89,134.43,361.66
Seafood claypot noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (555g),Main,,Meat,Seafood,23,42.18,43.29,29.97,5,#N/A,677.1,3413.25,247.40,253.91,175.79,677.10
Seafood ee mee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (572g),Main,,Meat,Seafood,23,78.08,25.68,40.9,4.75,#N/A,721.58,2227.2,389.47,128.09,204.01,721.58
Seafood fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (428g),Main,,Meat,Seafood,23,124.55,32.96,28.25,0.86,0,907.36,1245.48,608.37,161.00,137.99,907.36
"Seafood platter, Long John silver's",FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (1g),Main,LongJohnSilver,Meat,Seafood,23,0.21,0.14,0.07,0,#N/A,2.39,5.28,1.20,0.80,0.40,2.39
Seafood porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (607g),Main,,Meat,Seafood,23,50.6,8.23,21.39,0.84,#N/A,362.36,1071.46,228.56,37.18,96.62,362.36
Seafood risotto,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (374g),Main,,Meat,Seafood,23,46,34.48,21.32,2.24,70,579.7,908.82,261.95,196.35,121.41,579.70
Shark fin soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (592g),Side,,Meat,Fish,3,18.94,14.8,29.6,0,#N/A,326.84,2326.56,97.73,76.37,152.74,326.84
"Shrooms Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (170g),Main,KFC,Meat,Chicken,4,33.51,13.91,18.7,4.25,0,333.2,1178.1,168.87,70.10,94.24,333.20
Sliced fish bee hoon with milk,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (792g),Main,,Meat,Noodles,12,44.35,6.42,25.34,3.17,160,332.64,1647.36,193.83,28.06,110.75,332.64
"Sliced fish bee hoon, no evaporated milk",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (833g),Main,,Meat,Noodles,12,53.31,4.17,31.65,3.33,80,374.85,1807.61,224.20,17.54,133.11,374.85
Sliced fish hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (960.76g),Main,,Meat,Noodles,12,77.82,7.11,37.66,1.15,#N/A,525.54,3185.4,333.61,30.48,161.45,525.54
Soya bean curd with syrup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (310g),Side,,SideDish,Dessert,24,34.41,1.86,7.13,0.93,#N/A,182.9,18.6,145.01,7.84,30.05,182.90
"Soya bean curd, less sweet","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Bowl-dessert (15 cm) (537g),Side,,SideDish,Dessert,24,45.65,3.22,12.35,1.61,#N/A,263.13,32.22,196.21,13.84,53.08,263.13
"Soya bean curd, unsweetened","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (619.9g),Side,,SideDish,Dessert,24,0.62,1.86,11.78,9.3,#N/A,66.33,31,2.88,8.65,54.79,66.33
"Soya bean curd, with syrup (old)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (619.9g),Side,,SideDish,Dessert,24,63.23,1.86,11.78,9.3,#N/A,316.15,31,260.05,7.65,48.45,316.15
Soya bean drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),Drink,,Drinks,Cold Drinks,2,24,5.5,3.25,0,0,157.75,5,115.60,26.49,15.65,157.75
Soya sauce chicken noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (352g),Main,,Meat,Noodles,12,39.4,19.23,25.7,2.24,#N/A,442.6,681.52,206.79,100.93,134.88,442.60
Soyabean milk without sugar,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Cold Drinks,2,2.5,4,10.5,1.25,0,87.5,12.5,12.87,20.59,54.04,87.50
Spaghetti with tuna sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (300g),Main,,Meat,Noodles,12,60.49,14.73,21.42,4.51,#N/A,462.49,263.05,289.49,70.49,102.51,462.49
Stir fried ee fu noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (418.28g),Main,,Meat,Noodles,12,55.42,31.33,25.47,3.47,#N/A,605.38,2217.8,298.97,169.01,137.40,605.38
"Subway Club Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (377g),Main,Subway,Meat,Sandwich,18,14.25,3.51,18.85,4,#N/A,150.8,848.25,58.70,14.46,77.64,150.80
Sugar cane juice,BEVERAGES,Non-alcoholic beverages,Cup (263g),Drink,,Drinks,Cold Drinks,2,26.04,0,0.79,1.58,0,126.24,2.63,122.52,0.00,3.72,126.24
Sugar cane juice (2018),BEVERAGES,Non-alcoholic beverages,Cup (425g),Drink,,Drinks,Cold Drinks,2,28.05,0.21,0,0,0,114.75,3.27,113.90,0.85,0.00,114.75
"Sweet Onion Chicken Teriyaki Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (401g),Main,Subway,Meat,Chicken,4,24.98,3.09,20.05,4.01,#N/A,204.51,669.67,106.17,13.13,85.21,204.51
"Sweet Onion Sauce, Fat Free, Subway",FAST FOODS,All fast food outlets in alphabetical order,Dessertspoon (21g),Sauce,Subway,Meat,Sandwich,18,9,0,0,0,#N/A,39.9,85.05,39.90,0.00,0.00,39.90
Swiss roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (56g),Breakfast,,Meat,Bread,10,19.94,11.82,4.09,0.84,0.56,202.16,95.2,112.44,66.65,23.06,202.16
Tauhu goreng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (403g),Side,,Meat,Noodles,12,58.03,43.93,35.87,12.09,#N/A,769.73,4094.48,324.08,245.33,200.32,769.73
Tea with sugar,BEVERAGES,Non-alcoholic beverages,Cup (255g),Drink,,Drinks,Hot Drinks,1,16.07,0,0,0,#N/A,63.75,0,63.75,0.00,0.00,63.75
"Tea, herbal, other than chamomile, brewed",BEVERAGES,Non-alcoholic beverages,Cup (237g),Drink,,Drinks,Hot Drinks,1,0.47,0,0,0,#N/A,2.37,2.37,2.37,0.00,0.00,2.37
Teh,BEVERAGES,Non-alcoholic beverages,Cup (260g),Drink,,Drinks,Hot Drinks,1,23.92,2.86,2.34,3.12,#N/A,153.4,26,126.01,15.07,12.33,153.40
Teh C kosong,BEVERAGES,Non-alcoholic beverages,Cup (100g),Drink,,Drinks,Hot Drinks,1,2.2,1.4,1.1,0.6,0,26,15,12.17,7.74,6.09,26.00
Teriyaki chicken don,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (369g),Main,,Meat,Chicken,4,66.68,21.44,30.66,5.17,#N/A,582.28,860.51,326.88,105.10,150.30,582.28
Thai basil beef with rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (411g),Main,,Meat,Beef,5,282.69,105.34,163.99,11.63,0.21,2745.48,4082.67,1405.96,523.91,815.61,2745.48
Thai basil pork with rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (428g),Main,,Meat,Pork,6,330.63,116.67,149.12,10.49,0,2987.44,3334.12,1656.11,584.39,746.94,2987.44
Thai green milk tea,BEVERAGES,Non-alcoholic beverages,Cup (517g),Drink,,Drinks,Cold Drinks,2,39.29,7.81,2.59,1.03,0,237.82,98.23,188.04,37.38,12.40,237.82
Thai milk tea,BEVERAGES,Non-alcoholic beverages,Cup (527g),Drink,,Drinks,Hot Drinks,1,49.54,10.38,2.64,1.58,0,300.39,78.52,237.87,49.84,12.68,300.39
"Turkey Breast Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (344g),Main,Subway,Meat,Chicken,4,13,2.2,10.32,3.99,#N/A,110.08,574.48,56.08,9.49,44.52,110.08
Vegetable U-Mian,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (989g),Main,,Vegetables,Vegetables,13,78.13,12.86,25.71,5.93,100,534.06,2413.16,357.55,58.85,117.66,534.06
Vegetable briyani,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (239.3g),Main,,Vegetables,Vegetables,13,45.72,13.5,6.87,4.98,#N/A,331.67,606.48,229.44,67.75,34.48,331.67
Vegetarian fried bee hoon,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (362g),Main,,Vegetables,Vegetables,13,82.9,16.65,15.93,8.33,#N/A,548.54,1538.5,393.78,79.09,75.67,548.54
Vegetarian fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (335.3g),Main,,Vegetables,Vegetables,13,94.96,15.79,14.35,11.3,#N/A,579.4,1278.16,439.81,73.13,66.46,579.40
"Veggie Delite Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (287g),Main,Subway,Vegetables,Vegetables,13,9.99,1,2.87,3.99,#N/A,54.53,74.62,39.30,3.93,11.29,54.53
Walnut paste,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (259g),Side,,SideDish,Dessert,24,24.09,21.94,6.99,3.11,30,321.16,8.52,145.92,132.90,42.34,321.16
Wanton noodles dry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (335g),Main,,Meat,Noodles,12,57.75,13.84,20.03,2.61,#N/A,441.06,1454.24,278.01,66.63,96.42,441.06
Wanton noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (545g),Main,,Meat,Noodles,12,36.57,7,25.14,1.74,#N/A,318.04,1969.63,169.27,32.40,116.37,318.04
Wanton soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (445.12g),Main,,SideDish,Soup,21,25.02,12.42,17.8,2.31,#N/A,283.1,679.25,128.23,63.65,91.22,283.10
