Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Sugars (g),Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
Birdnest drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (93g),Drink,,Drinks,Cold Drinks,2,9.02,0,0.84,0,#N/A,9.02,39.06,4.65,35.73237323,0,3.327626775,39.06
"Biscuit, Popeyes",FAST FOODS,All fast food outlets in alphabetical order,1 portion (60g),Side,Popeyes,SideDish,Snacks,27,26,13,4,1,0.07,2,240,490,145.1162791,72.55813953,22.3255814,240
Black carrot cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (350g),Side,,SideDish,Dessert,24,65.77,26.74,13.16,1.54,#N/A,13.62,556.47,1937.08,346.352152,140.815821,69.30202707,556.47
"Black chicken herbal soup, soup only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (374g),Side,,Meat,Chicken,4,6.36,0.75,3.74,0,#N/A,6.36,48.62,691.9,28.4998341,3.360829493,16.75933641,48.62
Black pepper crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (266g),Side,,Meat,Seafood,23,0,8.17,24.76,0,#N/A,0,172.05,1165.24,0,42.68595506,129.3640449,172.05
Black tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),Drink,,Drinks,Hot Drinks,1,0.25,0,0.25,0,#N/A,-1,2.5,2.5,1.25,0,1.25,2.5
Quarter-cup Blueberries (30g),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (1.36g),Side,,Drinks,Fruits/Juice,26,4.8,0,0.3,0.9,#N/A,3.9,22.2,0.3,20.89411765,0,1.305882353,22.2
Bo Luo Bao (Pineapple Bun),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (77g),Breakfast,,Meat,Cereal,20,38.42,15.87,6.47,1,360,10.24,322.63,226.38,204.006659,84.26823733,34.35510369,322.63
Braised beef tendon noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (444g),Main,,Meat,Beef,5,69.26,5.33,33.74,12.43,#N/A,-1,461.76,2264.4,295.2229078,22.71929106,143.8178012,461.76
Braised chicken rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),Main,,Meat,Chicken,4,59.08,23.88,24.43,2.16,#N/A,0.8,548.88,835.67,301.9632219,122.0528392,124.8639389,548.88
"Braised chicken rice, skinless chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (291g),Main,,Meat,Chicken,4,68.91,14.78,23.66,1.69,#N/A,1.48,503.14,1009.19,322.9751039,69.27255892,110.8923372,503.14
Braised chicken with sea cucumber,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (89.81g),Side,,Meat,Chicken,4,1.84,9.18,10.67,1.01,#N/A,1.14,132.65,279.49,11.25292762,56.14232365,65.25474873,132.65
Braised duck rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (417g),Main,,Meat,Duck,7,71.76,28.9,22.77,0.65,#N/A,-1,643.65,1445.6,374.2066272,150.7047314,118.7386413,643.65
Chocolate chip bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),Breakfast,,Meat,Bread,10,20.9,2.55,3,1.48,#N/A,1.03,118.94,136.8,93.98283554,11.46680529,13.49035917,118.94
Coconut bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (45g),Breakfast,,Meat,Bread,10,21.78,13.5,6.17,2.59,#N/A,-1,233.07,34.2,122.4671797,75.90940893,34.69341134,233.07
Garlic bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (70g),Breakfast,,Meat,Bread,10,28.21,8.54,6.02,2.31,0,2.45,218.4,447.3,144.0510638,43.60851064,30.74042553,218.4
Raisin bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (33g),Breakfast,,Meat,Bread,10,16.2,1.25,2.67,0.89,#N/A,4.82,88.42,61.05,71.19304175,5.493290258,11.73366799,88.42
Toasted white bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),Breakfast,,Meat,Bread,10,12.81,0.74,2.09,0.78,0,0.97,68.34,130.41,55.97413043,3.233478261,9.132391304,68.34
Wholemeal bread with increased fibre,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),Breakfast,,Meat,Bread,10,11.4,1.02,3.48,2.19,0,0.84,73.57,135,52.74830189,4.719584906,16.10211321,73.57
Banana and walnut bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),Breakfast,,Meat,Bread,10,21.96,2.48,4.72,1.16,#N/A,6.52,124.8,63.2,93.98518519,10.61399177,20.20082305,124.8
Flavoured Breakfast cereal with whole grains,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,19.38,1.67,1.92,1.35,0,11.52,100.2,59.1,84.53966043,7.284893339,8.375446234,100.2
"Flavoured Breakfast cereal, without whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,20.52,0.69,1.86,0.54,0,8.82,95.7,143.4,85.12197659,2.862288687,7.71573472,95.7
"Mixed Breakfast cereal, with whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,17.55,1.79,2.61,1.98,0,6.84,96.6,95.4,77.23599089,7.877630979,11.48637813,96.6
"Mixed Breakfast cereal, without whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,22.26,1.59,2.22,0.93,0,6.78,112.2,129.3,95.80253165,6.843037975,9.55443038,112.2
"Plain Breakfast cereal, with whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,19.47,0.93,2.25,1.74,0,6.39,95.4,171,82.00609272,3.917086093,9.476821192,95.4
"Plain Breakfast cereal, without whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,20.46,0.3,2.07,0.66,0,2.4,92.7,230.7,83.07674113,1.218134034,8.405124836,92.7
Brewed coffee,BEVERAGES,Non-alcoholic beverages,1 portion (155g),Drink,,Drinks,Hot Drinks,1,0.62,0,0.16,0,#N/A,0.62,3.7,3.1,2.941025641,0,0.758974359,3.7
Plain fried brown rice bee hoon,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (299g),Main,,Meat,Rice,11,86.71,8.97,6.28,5.08,#N/A,3.89,451.49,1118.26,383.9613368,39.72013829,27.80852491,451.49
Bubor cha cha,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (358g),Side,,SideDish,Dessert,24,32.58,23.7,3.58,2.15,140,19.33,358,64.08,194.8486468,141.7407284,21.41062479,358
Bubur terigu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (400g),Side,,SideDish,Dessert,24,72.4,3.2,4.4,4.8,#N/A,39.2,336,40,304.08,13.44,18.48,336
Chicken curry bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (78.5g),Breakfast,,Meat,Cereal,20,31.79,6.75,6.36,1.73,0,0,214.31,293.59,151.7352984,32.21809577,30.35660579,214.31
Cinnamon bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (79g),Breakfast,,Meat,Cereal,20,45.5,8.69,5.45,1.42,0,9.56,282.03,443.98,215.1637324,41.09390845,25.77235915,282.03
Coconut bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (69g),Breakfast,,Meat,Cereal,20,26.5,11.45,5.04,4,0,10.21,229.08,160.08,141.2100488,61.01339846,26.85655269,229.08
Custard bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (63g),Breakfast,,Meat,Cereal,20,24.7,5.42,5.86,1.45,0,6.49,178.29,100.17,122.3947471,26.85747082,29.0377821,178.29
Dried shrimp bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (80g),Breakfast,,Meat,Cereal,20,29.28,12.8,10.72,2.48,0,9.12,275.2,524,152.6109091,66.71515152,55.87393939,275.2
Glazed fruit bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (80g),Breakfast,,Meat,Cereal,20,37.92,3.2,5.52,2.72,0,11.92,207.66,225.6,168.83506,14.24768439,24.57725557,207.66
Iced fruit bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (75g),Breakfast,,Meat,Cereal,20,35.03,6,7.35,2.48,#N/A,11.33,222.45,150,161.0670422,27.58784622,33.79511162,222.45
Melon bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (61g),Breakfast,,Meat,Cereal,20,26.41,5.8,5.06,0.92,0,10,186.05,111.02,131.8374162,28.95331366,25.25927019,186.05
Pork floss bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (78g),Breakfast,,Meat,Cereal,20,31.36,19.11,9.98,1.33,0,6.55,336.96,1150.5,174.8067097,106.5228387,55.63045161,336.96
Sausage bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (70g),Breakfast,,Meat,Cereal,20,23.73,8.05,7.84,0.98,0,0,198.8,367.5,119.069258,40.39222615,39.3385159,198.8
Steamed bun,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (50.44g),Breakfast,,Meat,Cereal,20,21.79,0.61,3.13,0.5,#N/A,9.18,104.92,83.23,89.5498159,2.506901684,12.86328241,104.92
Sugared bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (55g),Breakfast,,Meat,Cereal,20,29.7,4.07,5.17,1.54,0,0,177.1,149.6,135.0762712,18.51045198,23.51327684,177.1
Susi bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (71.2g),Breakfast,,Meat,Cereal,20,28.05,7.76,8.69,0.85,0,0,217.16,270.56,136.884,37.8688,42.4072,217.16
"Sweet bun, with dried fruit",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (80g),Breakfast,,Meat,Cereal,20,37.92,3.2,5.52,2.72,#N/A,11.92,207.2,225.6,168.4610635,14.2161235,24.52281304,207.2
Tuna bun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (79g),Breakfast,,SideDish,Dessert,24,26.43,10.51,9.68,1.58,0.07,6.68,238.69,333.25,135.3191055,53.81020807,49.5606864,238.69
Sugar-coated Bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (20g),Breakfast,,Meat,Cereal,20,9.24,2.04,1.54,0.32,0,2.58,61.4,56.8,44.25397816,9.770358814,7.375663027,61.4
"Big Mac Burger, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Whole (204g),Main,McDonalds,Meat,Sandwich,18,49,26.01,24.48,5,1.65,6.32,522.24,969,257.2093678,136.5309318,128.4997005,522.24
"Double whopper with cheese Burger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Piece (375g),Main,BurgerKing,Meat,Sandwich,18,44.7,63.98,52.5,6,#N/A,13.54,997.5,1451.25,276.6363693,395.9551433,324.9084874,997.5
Butter roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (28g),Breakfast,,Meat,Bread,10,14.84,2.24,2.32,0.81,#N/A,1.65,88.76,143.64,67.89682474,10.24857732,10.61459794,88.76
Butter sugar roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (65g),Breakfast,,Meat,Bread,10,33.35,5.07,5.59,1.56,#N/A,3.71,200.85,185.25,152.2005794,23.13813906,25.51128153,200.85
Cappucino,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,1 portion (197g),Drink,,Drinks,Hot Drinks,1,10.44,1.58,5.32,1.97,0,4.73,76.83,63.04,46.25750865,7.000657439,23.57183391,76.83
Caramel macchiato,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Cold Drinks,2,50,26.3,17.3,0.3,0.3,41.15,523.85,217.1,279.8344017,147.1928953,96.82270299,523.85
Carbonara,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (394g),Main,,Meat,Cereal,20,64.22,44.72,20.88,4.73,1300,3.94,744.66,1083.5,368.3720937,256.5182191,119.7696873,744.66
Carrot juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (294g),Drink,,Drinks,Fruits/Juice,26,19.99,0.59,1.18,2.06,#N/A,10,91.14,194.04,83.72649816,2.471167279,4.942334559,91.14
"Carrot, green apple, orange juice",BEVERAGES,Non-alcoholic beverages,Cup (407g),Drink,,Drinks,Fruits/Juice,26,15.06,0,0.81,0,0,15.06,65.12,86.69,61.7962949,0,3.323705104,65.12
Celery juice,BEVERAGES,Non-alcoholic beverages,Cup (249g),Drink,,Drinks,Fruits/Juice,26,2.99,0.25,1.49,0,#N/A,2.99,29.76,219.12,18.81234672,1.572938689,9.374714588,29.76
Century egg porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (512.36g),Main,,Meat,Egg,9,34.12,4.71,11.43,2.51,#N/A,0,224.52,834.43,152.4198647,21.04037405,51.05976124,224.52
"Cereal, puffed rice with cocoa coating",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (45g),Breakfast,,Meat,Cereal,20,38.12,0.68,2.12,0.27,#N/A,18.14,165.9,266.4,154.5480938,2.756891496,8.595014663,165.9
"Cereal, rice and wheat flakes, sweetened",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (35g),Breakfast,,Meat,Cereal,20,23.24,0.77,6.65,0.91,#N/A,5.25,128.95,190.4,97.74292237,3.23847032,27.96860731,128.95
"Cereal, wheat bran flakes",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (39g),Breakfast,,Meat,Cereal,20,23.13,1.01,4.68,6.32,#N/A,4.13,132.99,148.2,106.7334733,4.660648855,21.59587786,132.99
"Cereal, wheat bran pellets",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (65g),Breakfast,,Meat,Cereal,20,26.65,3.19,8.71,19.5,#N/A,9.75,206.97,422.5,143.080428,17.12670039,46.7628716,206.97
"Cereals, ready-to-eat, muesli, dried fruit and nuts",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (85g),Breakfast,,Meat,Cereal,20,59.93,4.17,8.25,6.21,0,26.35,289,196.35,239.3886662,16.6569454,32.95438839,289
Chao sheng mian,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (470g),Main,,Meat,Noodles,12,54.07,25.07,23.66,4.92,#N/A,1.5,536.59,1194.46,282.2317247,130.8590593,123.499216,536.59
Char siew chee cheong fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (80.5g),Side,,SideDish,Snacks,27,11.27,1.29,2.01,1.85,#N/A,-1,65.03,204.47,50.30117364,5.757632121,8.971194235,65.03
Char siew fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (418g),Main,,Meat,Pork,6,66.04,20.06,15.88,4.18,#N/A,-1,508.29,1621.84,329.1573995,99.98330457,79.14929594,508.29
Chasoba,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (275g),Main,Japanese,Meat,Cereal,20,28.11,1.98,9.98,2.67,#N/A,3,170.23,556.88,119.4201472,8.411664587,42.39818817,170.23
Chawamushi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Bowl-rice (11and 1/2 cm) (124g),Side,Japanese,Meat,Egg,9,2.64,7.94,8.44,0.72,#N/A,1.79,115.82,329.22,16.07596215,48.34967403,51.39436383,115.82
Chee cheong fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (101.33g),Side,,SideDish,Dessert,24,25.64,2.23,2.53,1.22,#N/A,-1,133.2,271.56,112.3436842,9.770921053,11.08539474,133.2
Cheese and ham bun,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (85g),Breakfast,,Meat,Bread,10,30.6,9.95,9.86,3.4,0.14,7.06,250.75,587.35,152.2108709,49.49340409,49.04572505,250.75
Cheese bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (56g),Breakfast,,Meat,Bread,10,26.6,7.67,6.16,1.23,0.03,3.53,199.92,265.44,131.5328222,37.92694534,30.4602325,199.92
"Cheese foam bubble tea, no topping, 0% sugar - LiHo",BEVERAGES,Non-alcoholic beverages,Cup (389g),Drink,,Drinks,Cold Drinks,2,7.78,15.56,3.11,0.78,80,7,182.83,313.15,53.77759546,107.5551909,21.49721361,182.83
"Cheeseburger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (133g),Main,BurgerKing,Meat,Sandwich,18,27.81,19.7,19.95,3.72,#N/A,5.97,380.38,775.39,156.8094841,111.0804328,112.490083,380.38
"Cheeseburger, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Whole (114g),Main,McDonalds,Meat,Sandwich,18,33,12,13.68,3,#N/A,4.1,297.54,720.48,167.3282209,60.84662577,69.36515337,297.54
"Cheesy BBQ Meltz, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (200g),Side,KFC,Meat,Cheese,15,39.4,34.2,24,#N/A,0.6,-1,558,1622,225.2581967,195.5286885,137.2131148,558
Chendol,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (420g),Side,,SideDish,Dessert,24,43.26,9.37,5.04,6.3,40,34.02,277.2,234.78,207.9360499,45.03839084,24.22555922,277.2
Durian Chendol,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (398g),Side,,SideDish,Dessert,24,53.25,19.22,5.73,10.35,#N/A,26.79,408.75,169.15,278.3367967,100.4625959,29.95060742,408.75
Mango Chendol,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (383g),Side,,SideDish,Dessert,24,46.73,14.17,4.98,4.6,#N/A,37.53,333.21,210.65,236.3525091,71.66948543,25.18800546,333.21
Cheng tng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (400g),Side,,SideDish,Dessert,24,41.2,0,2,2,0,40,188,20,179.2962963,0,8.703703704,188
Cup of sweet cherries,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (150g),Side,,Drinks,Fruits/Juice,26,21.61,0.27,1.43,2.84,#N/A,17.31,85.05,0,78.8472973,0.985135135,5.217567568,85.05
"Chicken Curry Pizza, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (80g),Main,PizzaHut,Meat,Chicken,4,13.44,7.52,10.48,1.28,0.17,1.92,163.2,426.4,69.7648855,39.0351145,54.4,163.2
